transaction_id,user_id,age,gender,daily_screen_time_hours,social_media_hours,gaming_hours,work_study_hours,sleep_hours,notifications_per_day,app_opens_per_day,weekend_screen_time,stress_level,academic_work_impact,addiction_level,addicted_label
TXN00020,U00020,24,Other,11.72,3.69,2.17,4.61,4.76,169,137,13.48,High,Yes,Moderate,1
TXN00021,U00021,20,Female,10.66,0.88,0.27,5.24,6.32,247,160,11.78,High,Yes,Moderate,1
TXN00022,U00022,34,Female,5.85,1.93,2.68,2.23,5.7,53,180,7.1,Medium,Yes,None,0
TXN00023,U00023,21,Other,3.66,1.67,1.06,5.63,8.46,245,77,5.08,Low,No,Mild,0
TXN00024,U00024,34,Female,3.07,4.99,1.2,4.15,8.73,54,82,3.86,Low,Yes,Severe,1
TXN00025,U00025,24,Male,9.46,1.62,2.54,1.95,6.7,236,28,10.19,Medium,No,Moderate,1
TXN00026,U00026,28,Female,9.94,4.0,1.05,4.58,6.98,129,158,10.46,Low,Yes,Moderate,1
TXN00027,U00027,35,Female,4.33,1.2,1.23,5.44,8.08,240,25,7.08,Low,Yes,None,0
TXN00028,U00028,35,Male,10.96,2.74,2.48,1.35,8.68,241,56,13.9,Low,No,Moderate,1
TXN00029,U00029,28,Male,10.04,2.76,2.68,4.54,5.62,60,42,11.5,Low,No,Moderate,1
TXN00030,U00030,32,Other,6.15,5.01,3.49,1.73,7.47,122,99,7.35,Low,No,Severe,1
TXN00031,U00031,34,Other,6.6,5.9,2.14,5.67,5.02,86,60,8.55,Medium,Yes,Moderate,1
TXN00032,U00032,31,Other,6.11,4.83,1.75,5.91,5.02,250,162,7.09,Low,No,Moderate,1
TXN00033,U00033,35,Other,9.18,5.67,2.95,1.58,6.44,190,99,11.24,High,Yes,Severe,1
TXN00034,U00034,27,Other,9.0,2.29,2.79,3.55,5.36,190,112,11.19,Low,No,Severe,1
TXN00035,U00035,18,Other,5.73,1.66,3.14,3.84,5.95,133,128,7.92,High,No,None,0
TXN00036,U00036,20,Male,5.55,4.15,2.48,1.01,8.78,80,94,6.61,Low,Yes,Moderate,1
TXN00037,U00037,25,Male,11.86,3.86,3.07,3.0,8.49,167,64,14.16,Medium,No,Severe,1
TXN00038,U00038,22,Other,8.9,0.53,3.0,4.74,4.98,128,71,9.84,High,No,Moderate,1
TXN00039,U00039,25,Male,11.26,1.17,0.53,3.06,6.89,163,167,12.55,Medium,No,Severe,1
TXN00040,U00040,33,Male,7.05,4.63,3.36,2.03,8.0,144,175,8.15,Medium,Yes,Severe,1
TXN00041,U00041,26,Female,6.02,5.41,0.32,1.33,6.22,59,69,6.68,Medium,No,Severe,1
TXN00042,U00042,19,Female,4.86,2.81,3.62,3.71,7.63,239,162,6.31,Low,No,Mild,0
TXN00043,U00043,31,Other,7.84,4.54,3.2,5.44,6.7,89,126,9.55,Medium,No,Severe,1
TXN00044,U00044,23,Female,10.56,5.56,3.92,3.44,8.58,171,159,12.72,Low,No,Moderate,1
TXN00045,U00045,23,Female,3.45,2.59,0.85,2.3,7.93,117,86,5.83,Medium,No,None,0
TXN00046,U00046,18,Other,9.74,0.79,3.81,1.73,4.81,186,25,12.13,Low,Yes,Moderate,1
TXN00047,U00047,22,Female,5.15,3.1,0.46,5.71,6.59,85,109,6.07,High,Yes,None,0
TXN00048,U00048,21,Other,8.21,5.61,2.3,5.49,6.19,203,65,8.9,High,Yes,Moderate,1
TXN00049,U00049,27,Male,10.65,3.8,0.48,5.91,8.02,108,151,12.22,Medium,Yes,Severe,1
TXN00050,U00050,31,Female,10.4,1.08,3.84,4.0,8.23,201,54,11.99,High,No,Severe,1
TXN00051,U00051,31,Male,10.43,3.76,1.29,1.85,8.71,91,130,11.54,Medium,No,Severe,1
TXN00052,U00052,33,Male,10.66,1.5,0.85,4.89,6.03,245,167,12.91,Medium,Yes,Moderate,1
TXN00053,U00053,25,Female,9.48,3.19,3.03,4.3,7.41,145,129,11.96,Low,No,Moderate,1
TXN00054,U00054,25,Female,5.76,3.7,1.89,3.42,6.41,210,155,7.09,High,No,Mild,0
TXN00055,U00055,26,Other,5.07,4.47,1.26,4.59,8.78,196,62,6.05,High,No,Severe,1
TXN00056,U00056,34,Male,8.37,5.89,3.33,2.13,6.12,97,18,10.64,Low,No,Moderate,1
TXN00057,U00057,35,Male,5.63,5.69,2.55,4.64,4.96,23,161,6.84,Medium,No,Severe,1
TXN00058,U00058,19,Male,5.27,5.24,0.46,0.86,6.71,167,176,7.49,Low,Yes,Severe,1
TXN00059,U00059,25,Female,4.07,4.7,2.43,4.85,5.52,153,112,5.7,Medium,No,Severe,1
TXN00060,U00060,19,Male,8.49,4.57,3.79,1.64,5.45,189,35,9.38,Low,Yes,Moderate,1
TXN00061,U00061,31,Female,7.05,3.77,1.17,1.77,7.68,199,131,7.73,Low,No,Mild,0
TXN00062,U00062,21,Male,7.9,4.06,3.63,5.05,4.82,62,93,9.89,High,No,Severe,1
TXN00063,U00063,32,Male,9.2,4.35,3.77,3.25,6.72,40,168,9.8,Medium,No,Severe,1
TXN00064,U00064,20,Female,5.06,4.21,3.44,3.73,4.59,215,83,7.0,Low,No,Severe,1
TXN00065,U00065,23,Female,11.97,2.9,3.26,5.83,6.62,124,100,13.27,Low,Yes,Severe,1
TXN00066,U00066,33,Female,5.59,5.7,3.25,3.53,6.55,100,79,6.9,Medium,Yes,Severe,1
TXN00067,U00067,19,Male,4.69,2.49,3.03,3.94,7.92,72,83,6.56,Medium,No,Mild,0
TXN00068,U00068,18,Other,11.76,3.85,0.96,1.37,6.98,161,119,12.49,Low,No,Moderate,1
TXN00069,U00069,22,Other,7.49,4.44,2.04,2.0,8.26,140,77,9.13,Low,No,Moderate,1
TXN00070,U00070,34,Other,9.72,1.25,0.28,4.75,8.34,107,144,10.89,Low,No,Severe,1
TXN00071,U00071,33,Male,10.79,2.96,1.94,2.33,7.93,116,131,13.62,Low,Yes,Severe,1
TXN00072,U00072,31,Male,3.39,4.6,2.82,4.96,6.24,189,53,5.13,Low,Yes,Severe,1
TXN00073,U00073,32,Other,3.9,5.51,0.06,1.29,8.42,59,34,5.57,Medium,No,Severe,1
TXN00074,U00074,20,Other,10.67,5.19,3.44,2.59,5.92,203,139,13.35,Low,Yes,Moderate,1
TXN00075,U00075,27,Male,11.98,4.61,1.74,1.04,7.35,243,40,13.59,High,No,Moderate,1
TXN00076,U00076,28,Female,10.17,2.11,1.5,1.3,6.89,164,61,11.09,Low,No,Moderate,1
TXN00077,U00077,22,Female,5.09,4.01,1.84,4.17,8.55,139,88,7.28,Low,Yes,Severe,1
TXN00078,U00078,27,Other,8.75,2.83,1.0,5.15,5.4,118,138,9.52,Medium,No,Severe,1
TXN00079,U00079,27,Male,3.2,5.07,1.58,0.54,8.39,219,27,5.98,High,No,Severe,1
TXN00080,U00080,29,Female,4.97,1.55,1.0,4.66,7.95,194,50,7.04,High,Yes,Mild,0
TXN00081,U00081,19,Male,8.22,4.53,0.36,2.12,7.86,64,66,9.05,High,No,Severe,1
TXN00082,U00082,26,Other,11.23,5.69,3.87,2.12,8.42,225,44,12.9,Low,Yes,Moderate,1
TXN00083,U00083,30,Other,11.71,4.93,1.46,4.85,4.56,157,46,13.35,High,No,Severe,1
TXN00084,U00084,29,Other,3.98,1.79,0.1,5.36,7.03,176,71,6.1,High,No,Mild,0
TXN00085,U00085,31,Other,4.05,0.75,0.15,5.98,5.02,80,152,4.89,Medium,No,Mild,0
TXN00086,U00086,22,Male,10.97,4.1,3.33,3.89,8.73,91,23,13.2,Low,No,Severe,1
TXN00087,U00087,29,Other,3.89,4.27,2.18,5.88,6.11,121,85,4.86,Low,No,Moderate,1
TXN00088,U00088,24,Male,8.78,3.78,0.09,4.83,5.6,52,159,9.79,High,Yes,Moderate,1
TXN00089,U00089,28,Male,9.97,4.84,2.38,2.03,8.93,53,153,11.1,Low,Yes,Moderate,1
TXN00090,U00090,18,Female,6.22,4.84,2.36,0.59,5.69,52,122,8.04,High,Yes,Severe,1
TXN00091,U00091,29,Female,7.62,1.1,2.02,5.7,4.7,220,148,8.87,High,Yes,Mild,0
TXN00092,U00092,30,Female,6.84,1.09,2.85,2.94,8.55,102,170,7.71,Low,No,Moderate,1
TXN00093,U00093,34,Male,5.65,3.28,1.72,4.86,5.01,187,156,7.95,Low,No,Mild,0
TXN00094,U00094,31,Male,6.05,2.99,1.66,1.02,6.42,190,80,7.49,Low,No,Mild,0
TXN00095,U00095,20,Female,3.84,1.03,2.96,4.96,7.0,170,158,5.74,High,Yes,Mild,0
TXN00096,U00096,31,Male,10.81,4.47,3.87,3.8,6.08,167,144,11.84,High,No,Moderate,1
TXN00097,U00097,29,Male,10.61,2.52,3.05,3.66,8.13,236,158,13.55,High,Yes,Severe,1
TXN00098,U00098,23,Male,5.46,4.69,3.69,2.43,5.32,56,159,7.6,Low,Yes,Moderate,1
TXN00099,U00099,34,Other,4.94,2.81,1.36,2.54,7.75,218,160,6.93,Low,Yes,None,0
TXN00100,U00100,19,Male,9.07,2.0,2.65,3.17,6.49,89,70,11.46,Low,No,Severe,1
TXN00101,U00101,27,Female,9.1,3.76,2.11,2.2,5.49,173,29,9.62,Medium,Yes,Moderate,1
TXN00102,U00102,27,Female,5.95,0.54,2.99,1.47,6.21,200,73,7.7,High,No,None,0
TXN00103,U00103,19,Female,6.93,3.03,0.31,2.22,6.43,123,178,8.47,Low,No,Mild,0
TXN00104,U00104,23,Female,10.21,3.9,3.33,5.56,4.9,236,42,11.32,High,No,Moderate,1
TXN00105,U00105,27,Male,9.71,1.72,3.12,0.92,7.35,155,145,10.69,Medium,No,Moderate,1
TXN00106,U00106,21,Other,4.32,1.58,2.41,4.68,7.45,65,175,6.06,High,No,Mild,0
TXN00107,U00107,28,Male,4.36,0.88,1.77,2.17,5.74,34,105,6.13,Medium,No,Mild,0
TXN00108,U00108,19,Other,6.32,2.08,2.58,5.88,4.91,172,144,7.78,High,Yes,Moderate,1
TXN00109,U00109,24,Male,5.89,3.12,0.6,0.84,4.97,250,102,8.85,Low,Yes,None,0
TXN00110,U00110,32,Male,11.92,3.38,2.44,2.5,8.63,119,119,14.36,High,Yes,Severe,1
TXN00111,U00111,28,Female,3.85,4.23,1.14,4.48,7.45,174,53,5.18,High,Yes,Severe,1
TXN00112,U00112,30,Other,4.16,4.4,0.34,3.57,7.4,104,47,6.34,High,Yes,Severe,1
TXN00113,U00113,29,Male,3.16,2.2,3.8,2.38,7.95,69,72,6.16,Low,Yes,Mild,0
TXN00114,U00114,34,Male,9.94,5.09,3.53,0.71,6.02,216,173,10.77,Medium,Yes,Moderate,1
TXN00115,U00115,23,Female,9.49,0.74,1.46,4.46,8.86,176,87,11.87,Medium,Yes,Moderate,1
TXN00116,U00116,33,Male,11.14,1.57,2.71,3.64,6.48,216,87,13.59,High,No,Moderate,1
TXN00117,U00117,22,Female,10.86,0.79,1.92,2.54,8.7,202,147,13.49,Medium,Yes,Moderate,1
TXN00118,U00118,32,Other,11.15,1.31,1.75,5.71,5.5,135,104,13.98,Medium,Yes,Severe,1
TXN00119,U00119,29,Female,5.12,5.97,1.5,0.66,8.69,234,100,7.6,Low,Yes,Severe,1
TXN00120,U00120,22,Female,9.83,3.08,2.46,5.48,4.59,75,53,11.7,High,No,Moderate,1
TXN00121,U00121,25,Female,5.71,0.76,1.68,4.87,6.56,48,142,7.7,Low,Yes,None,0
TXN00122,U00122,31,Female,3.01,2.44,2.28,1.53,7.51,154,107,3.68,High,Yes,Mild,0
TXN00123,U00123,19,Male,8.72,5.9,1.01,0.59,8.05,108,76,11.05,High,Yes,Severe,1
TXN00124,U00124,19,Male,6.17,2.36,2.57,5.07,7.58,198,137,8.25,Low,Yes,Moderate,1
TXN00125,U00125,27,Female,4.81,4.85,3.54,2.24,5.9,121,154,6.49,Low,Yes,Severe,1
TXN00126,U00126,19,Female,10.79,2.33,0.5,2.52,8.5,210,127,13.53,Medium,No,Moderate,1
TXN00127,U00127,33,Male,6.31,4.89,1.07,0.95,6.41,130,169,9.3,Low,No,Severe,1
TXN00128,U00128,20,Female,5.95,2.13,1.78,4.45,5.25,133,104,7.57,High,No,Mild,0
TXN00129,U00129,19,Male,3.68,4.01,1.45,4.91,7.56,27,51,6.3,High,No,Moderate,1
TXN00130,U00130,20,Other,5.12,4.05,1.45,5.72,4.65,59,130,7.99,Medium,No,Moderate,1
TXN00131,U00131,22,Female,7.77,2.69,2.6,1.87,5.01,208,62,9.52,Medium,Yes,Moderate,1
TXN00132,U00132,32,Other,4.93,3.87,2.78,5.99,5.4,54,33,6.56,High,No,None,0
TXN00133,U00133,28,Male,9.01,4.4,2.2,2.1,5.85,60,178,9.95,Medium,Yes,Moderate,1
TXN00134,U00134,22,Female,5.13,3.22,1.44,3.65,6.6,161,48,7.16,Low,Yes,Mild,0
TXN00135,U00135,33,Other,7.73,4.73,3.29,0.91,8.88,184,33,9.35,High,No,Moderate,1
TXN00136,U00136,23,Female,9.91,1.21,2.01,5.28,8.24,152,54,11.17,Low,No,Moderate,1
TXN00137,U00137,34,Other,11.05,5.15,1.0,3.99,6.98,52,175,12.31,High,Yes,Moderate,1
TXN00138,U00138,22,Other,4.54,3.93,3.61,2.36,8.66,30,22,5.24,High,No,None,0
TXN00139,U00139,31,Female,8.56,0.67,3.56,3.5,7.39,97,138,9.67,High,No,Severe,1
TXN00140,U00140,20,Male,9.2,1.37,1.66,3.05,6.03,56,95,11.85,Medium,No,Severe,1
TXN00141,U00141,29,Male,7.63,1.08,0.97,1.17,6.52,56,39,8.26,Medium,No,Mild,0
TXN00142,U00142,28,Female,11.4,4.47,0.76,1.38,8.98,139,142,14.1,Medium,Yes,Moderate,1
TXN00143,U00143,34,Male,7.12,1.82,2.33,0.77,5.77,172,135,8.33,Low,Yes,Moderate,1
TXN00144,U00144,26,Other,9.55,4.7,1.46,2.7,7.07,69,107,11.43,Low,No,Severe,1
TXN00145,U00145,26,Other,10.43,3.93,2.44,1.21,4.94,115,101,12.32,Medium,Yes,Moderate,1
TXN00146,U00146,34,Other,6.61,0.72,0.16,4.42,8.12,152,131,7.48,High,Yes,Moderate,1
TXN00147,U00147,28,Male,4.46,5.95,2.96,2.15,6.01,232,145,6.29,High,No,Severe,1
TXN00148,U00148,29,Other,5.98,1.1,1.67,2.19,8.54,243,176,6.55,Medium,No,None,0
TXN00149,U00149,19,Male,8.25,1.44,2.52,3.91,8.29,57,77,8.83,High,Yes,Moderate,1
TXN00150,U00150,32,Other,5.82,1.33,2.76,2.76,7.99,140,30,8.08,High,Yes,Mild,0
TXN00151,U00151,33,Male,7.73,2.23,0.69,5.52,6.04,110,179,10.24,Medium,No,Mild,0
TXN00152,U00152,26,Male,8.02,1.74,3.89,2.14,5.8,73,140,9.31,Medium,No,Severe,1
TXN00153,U00153,35,Female,6.42,5.89,3.27,5.75,8.12,94,25,7.64,High,Yes,Severe,1
TXN00154,U00154,26,Male,9.73,1.68,3.31,1.99,7.03,89,50,10.5,High,Yes,Moderate,1
TXN00155,U00155,34,Other,5.03,1.78,0.4,2.32,6.63,194,50,5.54,High,Yes,Mild,0
TXN00156,U00156,33,Female,7.3,1.6,3.86,2.27,7.41,216,37,9.43,Low,Yes,Mild,0
TXN00157,U00157,23,Female,11.41,0.7,3.34,4.83,5.34,211,89,14.1,Low,No,Moderate,1
TXN00158,U00158,27,Other,7.09,4.03,2.1,5.39,5.1,149,134,8.27,Low,No,Moderate,1
TXN00159,U00159,32,Other,8.83,4.45,0.06,2.35,5.83,192,64,9.77,High,No,Severe,1
TXN00160,U00160,28,Female,3.78,4.18,0.74,1.27,5.96,83,16,4.93,Low,No,Severe,1
TXN00161,U00161,27,Other,8.24,3.65,1.05,2.48,5.56,190,45,9.9,Low,No,Severe,1
TXN00162,U00162,21,Other,8.75,5.67,1.47,1.71,8.81,142,54,10.39,High,No,Severe,1
TXN00163,U00163,35,Male,11.22,4.67,3.21,5.04,7.93,194,167,13.9,Low,No,Severe,1
TXN00164,U00164,21,Male,3.56,3.51,2.02,3.65,5.17,103,148,5.16,High,Yes,Mild,0
TXN00165,U00165,34,Female,7.01,0.81,0.53,2.78,7.04,163,133,9.19,Medium,Yes,Moderate,1
TXN00166,U00166,18,Female,9.71,3.68,0.18,2.39,4.79,35,32,12.68,Medium,Yes,Severe,1
TXN00167,U00167,23,Other,9.92,4.71,3.91,4.05,6.39,248,112,11.54,Medium,No,Moderate,1
TXN00168,U00168,35,Other,4.2,5.23,0.47,5.96,6.27,52,72,6.79,Low,No,Severe,1
TXN00169,U00169,35,Male,6.82,2.59,0.92,3.03,5.2,68,43,7.4,High,No,Mild,0
TXN00170,U00170,24,Male,3.61,3.77,1.79,4.2,8.42,82,26,5.12,Low,Yes,None,0
TXN00171,U00171,34,Female,11.94,1.79,3.67,3.67,7.1,217,97,13.03,Low,Yes,Severe,1
TXN00172,U00172,26,Other,3.55,5.72,3.52,5.51,7.32,129,157,5.29,Medium,No,Severe,1
TXN00173,U00173,31,Other,6.67,2.15,0.74,3.46,5.58,77,91,9.31,Low,No,Mild,0
TXN00174,U00174,31,Male,11.71,3.57,0.54,1.84,5.42,185,35,14.52,Medium,Yes,Moderate,1
TXN00175,U00175,26,Male,6.39,3.83,0.16,0.9,8.12,170,158,7.43,Low,No,Moderate,1
TXN00176,U00176,24,Female,11.43,5.79,0.47,6.0,6.66,82,169,13.69,Medium,Yes,Severe,1
TXN00177,U00177,30,Male,7.2,4.07,1.23,2.48,8.47,139,40,9.71,High,No,Severe,1
TXN00178,U00178,29,Male,5.82,0.75,3.46,4.58,4.57,161,164,7.77,Medium,No,None,0
TXN00179,U00179,28,Male,5.07,3.63,0.98,3.53,8.75,106,80,7.48,Medium,No,Mild,0
TXN00180,U00180,29,Female,4.52,4.46,1.95,5.54,6.94,184,30,6.33,Low,Yes,Moderate,1
TXN00181,U00181,22,Male,10.58,1.77,2.83,0.55,6.78,115,30,12.62,High,No,Severe,1
TXN00182,U00182,18,Male,7.79,2.76,0.07,4.47,6.91,93,19,9.55,High,No,Mild,0
TXN00183,U00183,21,Other,7.72,1.83,2.48,1.89,6.09,223,116,8.42,Medium,No,Mild,0
TXN00184,U00184,25,Other,5.7,5.05,0.32,5.95,7.42,28,38,7.21,Medium,No,Moderate,1
TXN00185,U00185,18,Other,9.33,0.95,3.38,4.05,5.99,239,39,12.07,Low,Yes,Moderate,1
TXN00186,U00186,33,Other,5.44,5.58,2.74,2.04,6.94,188,23,6.39,Medium,Yes,Moderate,1
TXN00187,U00187,22,Other,9.77,4.42,1.59,0.92,5.23,81,160,12.36,Medium,No,Severe,1
TXN00188,U00188,22,Female,10.11,4.29,0.31,4.6,6.06,45,126,11.19,Low,No,Severe,1
TXN00189,U00189,18,Other,8.71,4.81,1.8,1.75,6.99,116,125,9.67,High,No,Moderate,1
TXN00190,U00190,27,Male,10.18,4.42,0.33,1.35,7.7,182,54,12.53,Medium,No,Moderate,1
TXN00191,U00191,18,Male,11.49,2.95,3.05,1.06,4.89,130,129,13.38,High,No,Moderate,1
TXN00192,U00192,20,Other,6.19,1.01,2.39,2.28,6.23,94,120,7.66,Low,Yes,Mild,0
TXN00193,U00193,30,Male,4.53,1.98,1.07,1.3,5.25,90,122,5.78,Low,No,Mild,0
TXN00194,U00194,33,Female,8.34,1.58,0.43,2.18,8.77,105,173,9.79,Medium,No,Severe,1
TXN00195,U00195,22,Female,5.7,3.82,2.78,3.13,5.3,121,96,6.93,High,No,None,0
TXN00196,U00196,30,Other,5.52,4.82,1.46,5.63,5.4,159,61,7.72,High,Yes,Severe,1
TXN00197,U00197,24,Other,6.95,2.1,2.77,5.0,8.08,124,142,7.8,Medium,Yes,Moderate,1
TXN00198,U00198,22,Female,9.44,4.84,0.3,5.95,6.66,122,151,11.21,High,No,Moderate,1
TXN00199,U00199,35,Female,8.34,5.53,0.44,1.87,7.49,62,180,10.37,High,No,Severe,1
TXN00200,U00200,21,Female,3.09,1.92,2.04,3.35,7.11,167,71,4.7,Medium,No,None,0
TXN00201,U00201,18,Other,7.34,2.12,3.68,0.97,8.24,206,51,8.71,Medium,No,Mild,0
TXN00202,U00202,33,Other,6.13,1.04,2.89,2.99,4.8,31,44,6.69,Medium,Yes,Mild,0
TXN00203,U00203,25,Male,7.64,3.54,1.32,2.85,6.58,224,118,9.71,Low,No,Moderate,1
TXN00204,U00204,24,Female,7.05,2.86,0.02,1.68,5.75,200,31,8.99,High,Yes,Moderate,1
TXN00205,U00205,24,Female,7.12,1.94,3.45,3.4,7.38,172,114,9.15,High,Yes,Moderate,1
TXN00206,U00206,32,Male,8.56,4.98,2.82,2.14,7.27,41,49,9.84,Low,No,Moderate,1
TXN00207,U00207,29,Female,9.24,3.31,1.67,1.26,6.23,67,139,11.33,High,Yes,Moderate,1
TXN00208,U00208,27,Other,4.26,2.23,1.8,0.79,6.12,22,139,5.1,Medium,No,Mild,0
TXN00209,U00209,33,Male,6.74,5.12,1.95,0.95,4.64,214,71,7.97,Medium,Yes,Severe,1
TXN00210,U00210,32,Other,8.09,4.75,1.98,3.31,7.08,88,154,10.65,Medium,Yes,Severe,1
TXN00211,U00211,24,Male,11.91,1.06,3.32,4.63,5.84,28,130,13.07,Low,No,Moderate,1
TXN00212,U00212,24,Other,10.3,3.73,1.4,4.41,7.35,62,172,11.15,Low,Yes,Moderate,1
TXN00213,U00213,29,Female,7.79,3.78,0.67,5.88,5.82,166,83,10.67,High,Yes,Mild,0
TXN00214,U00214,19,Male,11.93,5.27,0.51,5.26,5.62,202,97,14.5,High,No,Severe,1
TXN00215,U00215,26,Female,8.65,2.56,0.3,4.87,7.96,123,146,11.02,High,No,Severe,1
TXN00216,U00216,28,Female,8.24,5.28,3.39,1.01,8.87,182,106,10.87,High,No,Moderate,1
TXN00217,U00217,24,Male,7.45,2.28,1.13,3.51,5.09,238,139,9.92,High,Yes,Mild,0
TXN00218,U00218,32,Female,3.15,5.61,0.63,3.01,8.96,129,66,6.14,Low,No,Moderate,1
TXN00219,U00219,20,Other,8.89,1.88,1.49,5.47,5.24,121,175,10.15,High,Yes,Severe,1
TXN00220,U00220,20,Female,9.33,0.51,1.91,1.23,5.52,194,128,9.85,High,No,Moderate,1
TXN00221,U00221,22,Other,7.3,1.76,0.36,4.93,4.96,114,91,8.14,Low,Yes,Mild,0
TXN00222,U00222,18,Male,8.49,1.4,1.4,1.67,7.87,125,172,10.71,Low,Yes,Moderate,1
TXN00223,U00223,21,Other,8.31,2.61,3.85,2.23,5.13,90,180,9.02,High,No,Moderate,1
TXN00224,U00224,27,Other,4.85,3.84,0.75,2.65,7.41,220,76,6.59,Low,Yes,Mild,0
TXN00225,U00225,20,Male,7.75,5.88,3.95,5.64,5.09,240,160,9.3,High,Yes,Severe,1
TXN00226,U00226,18,Other,8.29,0.58,0.86,5.57,8.77,121,144,9.51,High,No,Severe,1
TXN00227,U00227,30,Other,3.74,3.45,2.46,2.03,5.89,150,67,6.68,Low,No,Mild,0
TXN00228,U00228,20,Other,5.79,2.91,3.81,1.81,5.6,131,44,7.42,High,Yes,Mild,0
TXN00229,U00229,23,Female,4.07,4.39,2.81,1.4,8.79,153,147,6.53,High,No,Moderate,1
TXN00230,U00230,22,Female,9.75,5.3,2.93,1.15,8.55,105,124,10.93,Low,No,Moderate,1
TXN00231,U00231,32,Other,7.6,0.8,3.44,1.42,5.21,217,41,10.34,High,Yes,Mild,0
TXN00232,U00232,34,Female,3.02,5.22,0.05,0.75,6.14,58,60,5.85,Low,No,Moderate,1
TXN00233,U00233,25,Male,6.75,4.46,1.09,0.93,6.18,148,28,7.7,High,Yes,Severe,1
TXN00234,U00234,32,Female,10.79,4.75,1.24,0.98,6.56,114,66,12.02,Medium,Yes,Severe,1
TXN00235,U00235,33,Other,11.98,4.77,2.93,3.51,8.08,58,16,14.81,Low,Yes,Severe,1
TXN00236,U00236,18,Male,11.56,0.51,2.63,5.17,7.77,46,67,13.38,Low,No,Severe,1
TXN00237,U00237,22,Other,9.4,1.01,3.69,5.44,6.84,199,110,11.05,High,Yes,Moderate,1
TXN00238,U00238,22,Female,8.73,2.67,2.37,0.84,7.48,53,75,9.96,Medium,No,Severe,1
TXN00239,U00239,32,Male,5.45,0.91,0.81,4.79,7.13,59,42,6.36,Medium,No,Mild,0
TXN00240,U00240,35,Female,6.22,4.74,1.81,3.05,8.34,43,55,8.74,Medium,Yes,Moderate,1
TXN00241,U00241,22,Male,3.82,1.87,1.42,3.32,7.55,86,59,4.4,Medium,No,None,0
TXN00242,U00242,32,Other,3.92,4.87,0.49,0.84,8.01,76,48,4.92,Medium,No,Moderate,1
TXN00243,U00243,26,Female,11.26,0.91,3.99,1.59,7.41,227,47,11.99,Medium,Yes,Moderate,1
TXN00244,U00244,19,Female,4.51,3.66,3.29,2.67,4.63,194,124,5.44,Low,Yes,Mild,0
TXN00245,U00245,32,Male,10.95,0.69,2.48,1.85,5.83,125,155,12.65,Low,No,Severe,1
TXN00246,U00246,31,Other,4.8,5.37,2.1,3.97,8.11,223,19,7.77,High,No,Severe,1
TXN00247,U00247,33,Other,6.1,3.61,1.29,1.99,4.62,172,71,6.67,Medium,Yes,Moderate,1
TXN00248,U00248,29,Other,9.9,6.0,3.9,1.05,7.46,88,151,12.44,High,Yes,Moderate,1
TXN00249,U00249,30,Other,6.19,5.12,3.38,1.47,7.17,226,106,8.97,Low,No,Moderate,1
TXN00250,U00250,24,Other,10.53,4.96,3.88,3.48,5.29,29,38,11.17,High,Yes,Moderate,1
